,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Mês da Sorte,Ganhadores 7 acertos,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores mês da sorte,Rateio mês da sorte,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
0,1,19/05/2018,3,5,8,9,19,21,30,2,1,PARANAGUÁ/PR,"R$957.949,23",206,"R$1.992,96",7250,"R$20,00",94747,"R$4,00",276204,"R$2,00",Não,"R$6.992.952,00","R$500.000,00",
1,2,22/05/2018,8,11,12,14,20,21,28,12,1,PORTO ALEGRE/RS,"R$752.176,93",118,"R$2.731,88",4506,"R$20,00",58532,"R$4,00",195268,"R$2,00",Não,"R$5.190.026,00","R$500.000,00",
2,3,24/05/2018,11,12,21,24,25,28,29,4,1,JABOTICABAL/SP,"R$769.663,08",86,"R$3.835,53",3780,"R$20,00",58680,"R$4,00",237328,"R$2,00",Não,"R$5.434.270,00","R$500.000,00",
3,4,26/05/2018,6,7,13,15,18,19,29,1,0,,"R$0,00",172,"R$1.812,18",7299,"R$20,00",90279,"R$4,00",207914,"R$2,00",Sim,"R$5.553.002,00","R$1.200.000,00",
4,5,29/05/2018,2,8,9,17,19,24,28,12,0,,"R$0,00",176,"R$2.318,99",7199,"R$20,00",91828,"R$4,00",219620,"R$2,00",Sim,"R$6.676.156,00","R$2.400.000,00",
5,6,02/06/2018,1,11,18,19,26,30,31,2,2,SÃO PAULO/SP,"R$1.522.363,99",181,"R$3.232,30",8149,"R$20,00",111572,"R$4,00",362869,"R$2,00",Não,"R$9.506.364,00","R$600.000,00",
6,7,05/06/2018,2,5,6,14,20,24,25,1,1,SÃO BERNARDO DO CAMPO/SP,"R$911.052,25",166,"R$2.352,12",6472,"R$20,00",83823,"R$4,00",223216,"R$2,00",Não,"R$6.391.004,00","R$500.000,00",
7,8,07/06/2018,1,4,13,21,22,24,27,9,0,,"R$0,00",138,"R$2.446,03",6015,"R$20,00",82995,"R$4,00",288985,"R$2,00",Sim,"R$6.084.624,00","R$1.500.000,00",
8,9,09/06/2018,3,10,13,18,19,23,24,8,3,"Montes Claros/MG; 
CAMPO GRANDE/MS; 
SÃO CAETANO DO SUL/SP","R$550.090,55",236,"R$1.566,56",7904,"R$20,00",98858,"R$4,00",297537,"R$2,00",Não,"R$6.710.830,00","R$500.000,00",
9,10,12/06/2018,6,10,13,18,19,20,30,8,0,,"R$0,00",189,"R$1.807,61",7078,"R$20,00",91165,"R$4,00",246739,"R$2,00",Sim,"R$6.059.026,00","R$1.500.000,00",
10,11,14/06/2018,7,13,16,19,20,27,31,9,0,,"R$0,00",247,"R$1.379,52",8149,"R$20,00",91754,"R$4,00",291867,"R$2,00",Sim,"R$6.312.242,00","R$2.300.000,00",
