,Extração,Data Sorteio,1º prêmio,Valor 1º prêmio,2º prêmio,Valor 2º prêmio,3º prêmio,Valor 3º prêmio,4º prêmio,Valor 4º prêmio,5º prêmio,Valor 5º prêmio
0,1,15/09/1962,5349,"R$200.000,00",38031,"R$8.000,00",26492,"R$5.000,00",25151,"R$4.000,00",1416,"R$2.000,00"
1,2,22/09/1962,3334,"R$200.000,00",34714,"R$8.000,00",20967,"R$5.000,00",36468,"R$4.000,00",18452,"R$2.000,00"
2,3,29/09/1962,27793,"R$200.000,00",15637,"R$8.000,00",11505,"R$5.000,00",14184,"R$4.000,00",25711,"R$2.000,00"
3,4,03/10/1962,10896,"R$200.000,00",37354,"R$8.000,00",38461,"R$5.000,00",1951,"R$4.000,00",33569,"R$2.000,00"
4,5,06/10/1962,23972,"R$200.000,00",33280,"R$8.000,00",3664,"R$5.000,00",34058,"R$4.000,00",3746,"R$2.000,00"
5,6,10/10/1962,934,"R$200.000,00",15267,"R$8.000,00",3690,"R$5.000,00",24257,"R$4.000,00",32504,"R$2.000,00"
6,7,13/10/1962,1314,"R$200.000,00",10660,"R$8.000,00",1472,"R$5.000,00",7130,"R$4.000,00",810,"R$2.000,00"
7,8,17/10/1962,21096,"R$200.000,00",1329,"R$8.000,00",25331,"R$5.000,00",16235,"R$4.000,00",3141,"R$2.000,00"
8,9,20/10/1962,5728,"R$200.000,00",20382,"R$8.000,00",32260,"R$5.000,00",28491,"R$4.000,00",27274,"R$2.000,00"
9,10,24/10/1962,338,"R$200.000,00",37703,"R$8.000,00",12749,"R$5.000,00",1370,"R$4.000,00",37915,"R$2.000,00"
10,11,27/10/1962,33264,"R$200.000,00",36070,"R$8.000,00",34611,"R$5.000,00",27023,"R$4.000,00",30637,"R$2.000,00"
11,12,31/10/1962,7058,"R$200.000,00",18897,"R$8.000,00",34444,"R$5.000,00",6478,"R$4.000,00",962,"R$2.000,00"
12,13,07/11/1962,35275,"R$200.000,00",3129,"R$8.000,00",29176,"R$5.000,00",31921,"R$4.000,00",5842,"R$2.000,00"
13,14,10/11/1962,33932,"R$200.000,00",25282,"R$8.000,00",4715,"R$5.000,00",3408,"R$4.000,00",38803,"R$2.000,00"
14,15,14/11/1962,809,"R$200.000,00",5041,"R$8.000,00",11942,"R$5.000,00",39510,"R$4.000,00",29207,"R$2.000,00"
15,16,17/11/1962,36536,"R$200.000,00",5752,"R$8.000,00",16035,"R$5.000,00",9775,"R$4.000,00",19175,"R$2.000,00"
16,17,21/11/1962,25913,"R$200.000,00",12173,"R$8.000,00",21454,"R$5.000,00",11363,"R$4.000,00",15010,"R$2.000,00"
17,18,24/11/1962,17716,"R$200.000,00",7891,"R$8.000,00",26139,"R$5.000,00",7792,"R$4.000,00",25301,"R$2.000,00"
18,19,28/11/1962,30407,"R$200.000,00",33594,"R$8.000,00",33789,"R$5.000,00",16677,"R$4.000,00",13565,"R$2.000,00"
19,20,01/12/1962,34413,"R$200.000,00",6267,"R$8.000,00",32363,"R$5.000,00",31339,"R$4.000,00",36524,"R$2.000,00"
20,21,05/12/1962,19859,"R$200.000,00",31796,"R$8.000,00",37438,"R$5.000,00",20456,"R$4.000,00",17238,"R$2.000,00"
21,22,12/12/1962,36637,"R$200.000,00",10284,"R$8.000,00",3185,"R$5.000,00",24896,"R$4.000,00",32613,"R$2.000,00"
22,23,15/12/1962,30122,"R$200.000,00",5169,"R$8.000,00",17548,"R$5.000,00",29570,"R$4.000,00",39424,"R$2.000,00"
23,24,19/12/1962,9471,"R$200.000,00",23336,"R$8.000,00",31604,"R$5.000,00",10592,"R$4.000,00",34373,"R$2.000,00"
24,25,22/12/1962,3457,"R$200.000,00",22079,"R$8.000,00",28594,"R$5.000,00",23094,"R$4.000,00",11338,"R$2.000,00"
25,26,26/12/1962,21865,"R$200.000,00",21867,"R$8.000,00",11972,"R$5.000,00",23785,"R$4.000,00",8465,"R$2.000,00"
26,27,29/12/1962,6195,"R$200.000,00",27828,"R$8.000,00",27049,"R$5.000,00",7637,"R$4.000,00",15744,"R$2.000,00"
27,28,02/01/1963,29063,"R$200.000,00",5673,"R$8.000,00",15479,"R$5.000,00",22347,"R$4.000,00",36597,"R$2.000,00"
28,29,05/01/1963,26584,"R$200.000,00",2662,"R$8.000,00",33566,"R$5.000,00",32094,"R$4.000,00",21243,"R$2.000,00"
29,30,09/01/1963,25793,"R$200.000,00",13312,"R$8.000,00",33039,"R$5.000,00",540,"R$4.000,00",39415,"R$2.000,00"
30,31,12/01/1963,26801,"R$200.000,00",19425,"R$8.000,00",29537,"R$5.000,00",22547,"R$4.000,00",5724,"R$2.000,00"
31,32,16/01/1963,10689,"R$200.000,00",19533,"R$8.000,00",2491,"R$5.000,00",31211,"R$4.000,00",36298,"R$2.000,00"
32,33,19/01/1963,2393,"R$200.000,00",32420,"R$8.000,00",32302,"R$5.000,00",39410,"R$4.000,00",1715,"R$2.000,00"
33,34,23/01/1963,28914,"R$200.000,00",12584,"R$8.000,00",4401,"R$5.000,00",20964,"R$4.000,00",12314,"R$2.000,00"
34,35,26/01/1963,19446,"R$200.000,00",1617,"R$8.000,00",12544,"R$5.000,00",13817,"R$4.000,00",20328,"R$2.000,00"
35,36,30/01/1963,28620,"R$200.000,00",974,"R$8.000,00",38939,"R$5.000,00",37438,"R$4.000,00",4048,"R$2.000,00"
36,37,02/02/1963,30578,"R$200.000,00",22930,"R$8.000,00",28938,"R$5.000,00",32794,"R$4.000,00",12281,"R$2.000,00"
37,38,06/02/1963,28838,"R$200.000,00",32397,"R$8.000,00",13531,"R$5.000,00",33138,"R$4.000,00",39267,"R$2.000,00"
38,39,09/02/1963,4291,"R$200.000,00",7363,"R$8.000,00",9641,"R$5.000,00",12341,"R$4.000,00",24032,"R$2.000,00"
39,40,13/02/1963,12085,"R$200.000,00",1069,"R$8.000,00",35666,"R$5.000,00",3516,"R$4.000,00",37535,"R$2.000,00"
40,41,16/02/1963,3979,"R$200.000,00",2247,"R$8.000,00",2939,"R$5.000,00",31169,"R$4.000,00",22102,"R$2.000,00"
41,42,20/02/1963,38403,"R$200.000,00",38630,"R$8.000,00",5301,"R$5.000,00",4190,"R$4.000,00",2993,"R$2.000,00"
42,43,23/02/1963,12341,"R$200.000,00",24187,"R$8.000,00",20579,"R$5.000,00",251,"R$4.000,00",1133,"R$2.000,00"
43,44,02/03/1963,26908,"R$200.000,00",24430,"R$8.000,00",29152,"R$5.000,00",3076,"R$4.000,00",8391,"R$2.000,00"
44,45,06/03/1963,4057,"R$200.000,00",5588,"R$8.000,00",28936,"R$5.000,00",23322,"R$4.000,00",29662,"R$2.000,00"
45,46,09/03/1963,4361,"R$200.000,00",15759,"R$8.000,00",10322,"R$5.000,00",29826,"R$4.000,00",596,"R$2.000,00"
