,Concurso,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Jogo 5,Jogo 6,Jogo 7,Jogo 8,Jogo 9,Jogo 10,Jogo 11,Jogo 12,Jogo 13,Jogo 14,Ganhadores 14 Acertos,Cidade / UF, Rateio 14 Acertos,Ganhadores 13 Acertos,Rateio 13 Acertos,Acumulado 14 Acertos,Arrecadacao Total,Estimativa Prêmio,Observação
0,1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,2,"BA; 
SP","R$55.985,99",44,"R$2.544,81",Não,"R$0,00","R$0,00",Estimativa prêmio para o próximo concurso: 14 pontos: 130 MIL.
1,2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,135,"AL; 
BA; 
DF; 
GO; 
MG; 
MS; 
PA; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RS; 
SC; 
SP","R$1.048,79",4737,"R$29,77",Não,"R$0,00","R$0,00",MARQUE UM GOLAÇO VOCÊ TAMBÉM. APOSTE NA LOTECA E NO LOTOGOL ACUMULADO EM R$ 445 MIL. ESTIMATIVA PRÊMIO DA LOTECA (14 ACERTOS) PRÓXIMO CONCURSO: R$ 150 MIL.
2,3,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,2,"RJ; 
SP","R$66.154,85",94,"R$1.407,55",Não,"R$0,00","R$0,00",MARQUE UM GOLAÇO VOCÊ TAMBÉM. APOSTE NA LOTECA E LOTOGOL ACUMULADO EM R$470 MIL. ESTIMATIVA DE PRÊMIO DA LOTECA NO PRÓXIMO CONCURSO(14 ACERTOS): R$ 140 MIL.
3,4,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,223,"AL; 
BA; 
CE; 
DF; 
ES; 
GO; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$547,72",4834,"R$25,27",Não,"R$0,00","R$0,00",MARQUE UM GOLAÇO VOCÊ TAMBÉM. APOSTE NA LOTECA E NO LOTOGOL ACUMULADO EM R$ 495 MIL. ESTIMATIVA DE PRÊMIO (14 ACERTOS) PRÓXIMO CONCURSO: R$ 140 MIL.
4,5,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,0,,"R$0,00",1,"R$127.452,18",Sim,"R$0,00","R$0,00",MARQUE UM GOLAÇO VOCÊ TAMBÉM. APOSTE NA LOTECA E NO LOTOGOL. ESTIMATIVA DE PRÊMIO PRÓXIMO CONCURSO (14 ACERTOS) R$ 300 MIL.
5,6,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,3,"BA; 
RS; 
SP","R$81.474,16",54,"R$2.166,11",Não,"R$0,00","R$0,00","MARQUE UM GOLAÇO VOCÊ TAMBÉM. APOSTE NA LOTECA E NA LOTOGOL. ESTIMATIVA DE PRÊMIO (14 ACERTOS) PROXIMO CONCURSO: R$130.000,00."
6,7,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,2,"GO; 
MG","R$53.954,84",126,"R$856,42",Não,"R$0,00","R$0,00","MARQUE UM GOLAÇO VOCE TAMBEM. APOSTE NA LOTECA E NA LOTOGOL. ESTIMATIVA DE PRÊMIO PRÓXIMO CONCURSO(14 ACERTOS): R$120.000,00."
7,8,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,5,"BA; 
RJ; 
RS; 
SP","R$21.987,68",96,"R$1.145,19",Não,"R$0,00","R$130.000,00",MARQUE UM GOLAÇO VOCÊ TAMBÉM. APOSTE NA LOTECA E NO LOTOGOL.
8,9,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",89,"R$1.328,14",Sim,"R$0,00","R$0,00",ESTIMATIVA PRÊMIO (14 ACERTOS)PRÓXIMO CONCURSO: R$ 250 MIL.
9,10,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,0,,"R$0,00",33,"R$2.518,37",Sim,"R$0,00","R$0,00",ESTIMATIVA PRÊMIO PRÓXIMO CONCURSO (14 ACERTOS): R$ 350 MIL.
10,11,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,2,"PR; 
SP","R$168.121,45",115,"R$1.173,32",Não,"R$0,00","R$0,00",ESTIMATIVA PRÊMIO PRÓXIMO CONCURSO(14 ACERTOS): R$ 110 MIL.
11,12,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,5,"DF; 
GO; 
MG; 
PR; 
RJ","R$13.103,25",90,"R$725,20",Não,"R$0,00","R$0,00",ESTIMATIVA PRÊMIO (14 ACERTOS) PROXIMO CONCURSO: R$ 100 MIL. OS 05 ACERTADORES COM 14 PONTOS SÃO DE:CAMPO BELO/MG - PARAÍBA DO SUL/RJ - BRASÍLIA/DF - ANÁPOLIS/GO E TUPASSI/PR.
12,13,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,92,"AL; 
AM; 
BA; 
DF; 
ES; 
GO; 
MG; 
MS; 
PA; 
PE; 
PI; 
PR; 
RJ; 
RS; 
SC; 
SE; 
SP","R$868,70",2026,"R$39,30",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$100.000,00. O jogo 05 teve seu resultado conhecido através de sorteio realizado no auditório da Caixa em Brasília em 13/05/2002 às 10 horas."
13,14,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,0,,"R$0,00",37,"R$1.791,96",Sim,"R$0,00","R$0,00","ATENÇÃO ANTECIPE SUAS APOSTAS: O encerramento das vendas de apostas do concurso 015 da LOTECA e do concurso 015 do LOTOGOL ocorrerá na sexta-feira, 24/05/2002, às 22 horas. Estimativa de prêmio do próximo concurso (14 acertos): R$ 115 MIL."
14,15,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,13,"BA; 
DF; 
GO; 
PI; 
RJ; 
RS; 
SC; 
SP","R$11.052,28",436,"R$176,79",Não,"R$0,00","R$0,00",ATENÇÃO ANTECIPE SUAS APOSTAS. O encerramento das vendas de apostas da LOTECA concurso 016 ocorrerá na 6ª feira(31/05/02) e do LOTOGOL concurso 016 ocorrerá na 5ªfeira (30/05/2002). Estimativa prêmio (14 acertos): R$ 100 MIL. Apuração prevista para 06/06/02 (5ª feira) às 12 horas).
15,16,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,7,"BA; 
MG; 
MT; 
RS; 
SP","R$19.756,76",157,"R$880,87",Não,"R$0,00","R$0,00","Prêmio líquido (14 ACERTOS) para o concurso 17: R$92.865,64. As apostas do concurso 18 se encerrarão em 10/06/02 (2ªfeira) às 22 horas."
16,17,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,0,,"R$0,00",22,"R$4.221,17",Sim,"R$0,00","R$0,00","PRÊMIO PARA O CONCURSO 18 (14 ACERTOS): R$190.297,87. ENCERRAMENTO DAS VENDAS DO CONCURSO 19 EM 15/06/2002 (SÁBADO)."
17,18,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,1,SP,"R$190.297,87",49,"R$1.988,41",Não,"R$0,00","R$0,00",ESTIMATIVA PRÊMIO PRÓXIMO CONCURSO(14 ACERTOS): R$ 120 MIL. GANHADOR DE 14 ACERTOS DE SÃO JOSÉ DO RIO PRETO/SP.
18,19,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,20,"DF; 
GO; 
PE; 
PR; 
RJ; 
RS; 
SE; 
SP; 
TO","R$3.305,48",401,"R$164,24",Não,"R$0,00","R$0,00",ESTIMATIVA DE PRÊMIO PARA O CONCURSO 20 (14 ACERTOS): R$ 80 MIL.
19,20,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,2,"MG; 
PR","R$21.904,22",52,"R$842,47",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 80 MIL. OS SORTEIOS DOS JOGOS DA LOTECA E DO LOTOGOL SÃO REALIZADOS SEPARADAMENTE, PODENDO APRESENTAR RESULTADOS DIFERENTES QUANTO À COLUNA SORTEADA NA LOTECA E SEUS ESCORES NO LOTOGOL, RESPECTIVAMENTE."
20,21,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,3,"SC; 
SP","R$13.765,56",107,"R$384,49",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO DO PRÓXIMO CONCURSO (14 ACERTOS): R$ 120.000,00."
21,22,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,0,,"R$0,00",0,"R$0,00",Sim,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO DO PRÓXIMO CONCURSO (14 PONTOS): R$ 200 MIL. Ganhadores de 12 pontos deste concurso: Altinho/PE, Fortaleza/CE, Pará de Minas/MG e Rio de Janeiro/RJ."
22,23,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,0,,"R$0,00",37,"R$1.520,14",Sim,"R$0,00","R$0,00",ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA PRÓXIMO CONCURSO (14 ACERTOS): R$ 250 MIL.
23,24,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,4,"MG; 
PR; 
SP","R$50.942,95",109,"R$509,24",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO (14 ACERTOS)PARA O PRÓXIMO CONCURSO: R$ 80 MIL. OS GANHADORES COM 14 ACERTOS DESTE CONCURSO SÃO DE: ITAMOGI/MG, PARANAGUÁ/PR, ITATIBA/SP E RIBEIRÃO PRETO/SP."
24,25,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",6,"R$6.478,27",Sim,"R$0,00","R$0,00",ACUMULOU!!! ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 120 MIL.
25,26,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",6,"R$7.163,15",Sim,"R$0,00","R$0,00",LOTECA ACUMULADA!!! ESTIMATIVA DE PRÊMIO (14 ACERTOS) PRÓXIMO CONCURSO: R$ 200 MIL.
