,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Time Coração,Ganhadores 7 acertos,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Ganhadores Time Coração,Rateio Time Coração,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
0,1,01/03/2008,24,31,51,57,63,71,80,PALMAS/TO,0,,"R$0,00",6,"R$59.909,90",328,"R$730,61",6032,"R$6,00",60403,"R$2,00",13122,"R$2,00","R$479.279,20","R$0,00","R$1.000.000,00",
1,2,08/03/2008,18,20,25,31,50,63,77,SÃO PAULO/SP,0,,"R$0,00",10,"R$28.097,91",316,"R$592,79",5882,"R$6,00",58525,"R$2,00",104390,"R$2,00","R$853.917,98","R$0,00","R$1.200.000,00",
2,3,15/03/2008,9,21,29,36,43,72,74,NÁUTICO/PE,0,,"R$0,00",7,"R$47.354,51",339,"R$651,88",6107,"R$6,00",59464,"R$2,00",15486,"R$2,00","R$1.295.893,36","R$0,00","R$1.500.000,00",
3,4,22/03/2008,15,38,54,66,68,70,71,SÃO RAIMUNDO/AM,0,,"R$0,00",3,"R$91.378,01",251,"R$728,11",4335,"R$6,00",41945,"R$2,00",8069,"R$2,00","R$2.076.756,78","R$0,00","R$2.500.000,00",
4,5,29/03/2008,15,20,23,24,51,54,58,MIXTO/MT,0,,"R$0,00",4,"R$71.074,74",286,"R$662,70",6299,"R$6,00",62221,"R$2,00",11655,"R$2,00","R$2.455.822,02","R$0,00","R$2.800.000,00",
5,6,05/04/2008,1,8,17,55,59,60,80,RIO BRANCO/AC,0,,"R$0,00",13,"R$24.917,39",485,"R$445,26",8170,"R$6,00",73407,"R$2,00",7956,"R$2,00","R$2.887.723,54","R$0,00","R$3.200.000,00",
6,7,13/04/2008,15,18,29,37,42,55,77,UBERLÂNDIA/MG,0,,"R$0,00",11,"R$26.967,79",520,"R$380,31",8025,"R$6,00",68820,"R$2,00",9684,"R$2,00","R$3.283.251,12","R$0,00","R$3.500.000,00",
7,8,20/04/2008,48,50,61,71,74,75,76,ATLÉTICO/MG,0,,"R$0,00",4,"R$72.897,70",160,"R$1.214,96",3535,"R$6,00",37706,"R$2,00",41652,"R$2,00","R$3.672.038,87","R$0,00","R$4.000.000,00",
8,9,27/04/2008,5,24,37,56,58,69,78,PALMAS/TO,0,,"R$0,00",10,"R$27.875,95",365,"R$509,15",6786,"R$6,00",60068,"R$2,00",10484,"R$2,00","R$4.535.458,60","R$0,00","R$5.000.000,00",
9,10,04/05/2008,1,14,23,37,53,59,74,JI-PARANÁ / RO,0,,"R$0,00",7,"R$40.556,59",329,"R$575,27",5926,"R$6,00",57026,"R$2,00",13880,"R$2,00","R$4.913.986,78","R$0,00","R$5.300.000,00",
10,12,17/05/2008,2,13,15,24,39,56,73,AMÉRICA/RN,0,,"R$0,00",14,"R$19.878,09",484,"R$383,32",8180,"R$6,00",72164,"R$2,00",8344,"R$2,00","R$5.684.619,13","R$0,00","R$6.000.000,00",
11,13,24/05/2008,6,28,32,37,73,75,79,U BARBARENSE,0,,"R$0,00",11,"R$25.629,44",307,"R$612,21",5541,"R$6,00",53928,"R$2,00",5895,"R$2,00","R$6.060.517,56","R$3.250.840,00","R$6.500.000,00",
12,14,31/05/2008,15,19,32,51,57,60,68,BRASILIENSE/DF,0,,"R$0,00",7,"R$44.949,50",319,"R$657,57",6465,"R$6,00",63078,"R$2,00",14132,"R$2,00","R$6.966.193,19","R$0,00","R$7.500.000,00",
13,15,08/06/2008,3,9,20,21,25,58,64,VILA NOVA/GO,0,,"R$0,00",15,"R$21.364,89",518,"R$412,45",8328,"R$6,00",70267,"R$2,00",13094,"R$2,00","R$7.393.490,89","R$0,00","R$7.800.000,00",
14,16,15/06/2008,5,38,42,52,55,57,59,FORTALEZA/CE,1,BA,"R$7.818.108,56",5,"R$63.692,65",389,"R$545,78",8245,"R$6,00",72098,"R$2,00",26605,"R$2,00","R$0,00","R$0,00","R$500.000,00",GANHADOR DE 7 ACERTOS: SALVADOR/BA.
15,17,22/06/2008,10,12,20,23,30,50,53,FIGUEIRENSE/SC,0,,"R$0,00",10,"R$18.155,20",256,"R$472,79",4344,"R$6,00",38401,"R$2,00",8187,"R$2,00","R$242.069,38","R$0,00","R$500.000,00",
16,18,29/06/2008,9,15,26,33,54,63,70,PORT DESPORT,0,,"R$0,00",5,"R$34.870,21",187,"R$621,58",3825,"R$6,00",37173,"R$2,00",7782,"R$2,00","R$474.537,42","R$2.050.224,00","R$700.000,00",
17,19,06/07/2008,26,38,44,49,55,60,75,CSA/AL,0,,"R$0,00",3,"R$65.919,72",176,"R$749,09",3482,"R$6,00",36198,"R$2,00",6181,"R$2,00","R$1.135.749,23","R$0,00","R$1.500.000,00",
18,20,13/07/2008,19,28,37,39,53,64,73,FIGUEIRENSE/SC,0,,"R$0,00",14,"R$14.803,84",455,"R$303,67",4248,"R$6,00",41695,"R$2,00",10277,"R$2,00","R$1.412.087,58","R$0,00","R$1.800.000,00",
